Группа	Код	Наименование	Наличие	Цена1 	Цена2	Цена3	Цена4	Старая цена	Описание краткое	Описание полное	Арт. Аналогов	Штрих код
	9691	TOYOTA кольца поршневые +0,5 d86,5 2,0-2,0-3,0 к-т мотор 2C 2,0D	1	4360	4140	3930	3730	4880	Autowelt	RS-34191	RS-34191=35924-050=T903A50=9-9735-50	0
	5169	MAZDA кольца поршневые d78,5 1,5-1,5-4,0 к-т 323 88г B6	1	4360	4140	3930	3730	4880	Riken	30845	30845	0
2	5171	Вкладыши										0
3	5172	AUDI VW										0
4	5173	Вкладыши шатуна, промвала, распредвала										0
	5174	AUDI VW  1,6-2,4D втулка шатуна 24мм	1	180	170	160	150	200	Kolbenschmidt	87344690	87344690	0
	5177	AUDI VW вкладыши промежуточного вала задний	1	380	360	340	320	430	Glyco	07-3089-STD	07-3089=85958604=029LB18192000 	0
	5179	VW T-5 1,9/2,5TD вкладыши распредвала к-т на 5 шеек	2	2880	2740	2600	2470	3230	Kolbenschmidt	77913600	N147/5-STD=038103673BGLB=77913600=CS543AMSTD	0
4	5180	Вкладыши шатунные 1,3-1,6В 										0
	5181	AUDI VW вкладыши шат. 1,3/1,6В STD	2	680	650	620	590	760	KING	CR411 000	CR411AM std=87723600=AEB4538-std	0
	5182	AUDI VW вкладыши шат. 1,3/1,6В 0,25	2	690	660	630	600	770	KING	CR411 0.25	CR411AM-0,25=87723610	0
	5183	AUDI VW вкладыши шат. 1,3/1,6В 0,50	2	860	820	780	740	960	KING	CR411 0.5	CR411AM-0,50=87723620	0
	5184	AUDI VW вкладыши шат. 1,3/1,6В 0,75	3	860	820	780	740	960	KING	CR411 0.75	CR411AM-0,75=87723630	0
	5185	AUDI VW вкладыши шат. 1,3/1,6В 1,00	1	810	770	730	690	910	KING	CR411 1.0	CR411AM-1,00=87723640	0
	5186	AUDI VW вкладыши шат. 1,3/1,6В 1,25	1	1710	1620	1540	1460	1920	KING	CR411 1.25	CR411AM-1,25	0
4	5187	Вкладыши шатунные 1,6D=1,8B										0
	5188	AUDI VW вкладыши шат. 1,6D/1,8В STD	2	720	680	650	620	810	KING	CR437 000	CR437AM STD=87464600=AEB92290=AEB4622=87433600	0
	5189	AUDI VW вкладыши шат. 1,6D/1,8В STD	1	1060	1010	960	910	1190	Kolbenschmidt	87464600	CR437AM STD=87464600=AEB92290=AEB4622=87433600	0
	5190	AUDI VW вкладыши шат. 1,6D/1,8В 0,25	1	590	560	530	500	660	KING	CR437 0.25	CR437AM 0,25=87464610	0
	5191	AUDI VW вкладыши шат. 1,6D/1,8В 0,25	1	720	680	650	620	810	Kolbenschmidt	87464610	CR437AM 0,25=87464610	0
	5192	AUDI VW вкладыши шат. 1,6D/1,8В 0,5	1	850	810	770	730	950	KING	CR437 0.5	CR437AM 0,50=87464620	0
	5193	AUDI VW вкладыши шат. 1,6D/1,8В 0,75	2	680	650	620	590	760	KING	CR437 0.75	CR437AM 0,75=87464630	0
	5194	AUDI VW вкладыши шат. 1,6D/1,8В KS 0,75	1	1050	1000	950	900	1180	Kolbenschmidt	87433630	CR437AM 0,75=87464630	0
	5195	AUDI VW вкладыши шат. 1,6D/1,8В 1,00	1	1130	1070	1020	970	1270	KING	CR437 1.0	CR437AM1,00	0
4	5197	Вкладыши шатунные 1,8B с отверстием										0
	5198	AUDI VW вкладыши шат. 1,8В STD	1	990	940	890	850	1110	Kolbenschmidt	87200600	CR4104-000=87200600	0
	5199	AUDI VW вкладыши шат. 1,8В 0,25	1	990	940	890	850	1110	Kolbenschmidt	87200610	CR4104 0,25=87200610	0
